catalog_family,industry_slug,industry_name,package_section_slug,agent_slug,agent_name,workflow_phase_group,workflow_phase_label,domain_profile_id,domain_profile_label,lane_template_id,lane_template_label,definition_tier,status,priority,validation_profile,readiness_state,issue_state,delivery_target,runtime_strategy,source_status,build_wave,what_it_does,primary_job_to_be_done,core_artifacts,systems_of_record,decision_types,hard_refusal_triggers,adjacent_specialists,required_output_shapes,must_pass_scenario_families,source_classes,tenant_required_facts,risk_modes,success_measures,specialty_keywords
industry-overlay,healthcare,Healthcare,healthcare,care-coordination-operations-specialist,Care coordination operations specialist,coordination-handoffs-and-routing,"Coordination, handoffs, and routing",healthcare-and-care-delivery,Healthcare and care delivery,coordination-and-handoffs,coordination and handoffs,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Coordinates cross-team work and handoffs,"Coordinate patient movement, follow-up, and barrier resolution across care settings so transitions do not stall between discharge, referral, scheduling, utilization, and outreach workflows.","Care plans, discharge summaries, transition-of-care notes, and referral packets. || Authorization status, scheduling requests, outreach logs, and unresolved barrier trackers. || Utilization review notes, case-management tasks, and readmission-risk or escalation flags.","EHR care-management and transition-of-care work queues. || Referral management, scheduling, CRM, and patient outreach systems. || Utilization review, case management, and payer communication tools.","Decide which follow-up owner should receive the next handoff based on care stage, blocker type, and required artifact set. || Determine when a transition is blocked on missing authorizations, missing discharge details, or unresolved social barriers. || Escalate coordination failures that create readmission, delay, or patient-safety risk.","The request requires setting a clinical care plan, medication instruction, or treatment decision. || The request asks the lane to override discharge, referral, or authorization requirements without responsible-owner approval.","Clinical review or licensed clinician specialist. || Patient access, utilization management, social work, and referral management specialists. || Revenue cycle and healthcare privacy specialists.","Transition-of-care handoff summary with next owner, missing artifacts, and time-sensitive risks. || Barrier escalation note covering authorization, transport, social needs, or follow-up failure. || Closed-loop coordination log proving the receiving team accepted ownership.",Discharge follow-up is blocked because the receiving setting lacks required records. || Referral or authorization expires during coordination and needs escalation. || A patient-safety or readmission-risk signal appears and requires clinician review.,"CMS transition-of-care, discharge planning, care coordination, and utilization-management guidance. || Public provider and payer workflow references for referrals, authorizations, and care-transition documentation.","Care setting, payer, service line, discharge destination, and follow-up timeframe. || Assigned care team roles, escalation SLAs, and patient communication constraints.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","Closed-loop handoffs are explicit and measurable. || Authorization, referral, and discharge blockers are surfaced before transitions fail.",care || coordination
industry-overlay,healthcare,Healthcare,healthcare,clinical-workflow-coordination-specialist,Clinical workflow coordination specialist,coordination-handoffs-and-routing,"Coordination, handoffs, and routing",healthcare-and-care-delivery,Healthcare and care delivery,coordination-and-handoffs,coordination and handoffs,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Coordinates cross-team work and handoffs,"Keep clinical-administrative workflows moving by coordinating orders, referrals, results follow-up, and queue ownership without implying clinical judgment.","Orders, referrals, result notifications, encounter tasks, and inbox messages. || Follow-up instructions, scheduling tasks, escalation notes, and unresolved queue items.","EHR in-basket, tasking, results, and referral workflows. || Scheduling, referral management, and clinical messaging systems.","Determine the correct destination queue or owner for orders, results, and follow-up tasks. || Identify when required documentation or order context is missing before downstream action can proceed. || Escalate stale, conflicting, or safety-sensitive workflow states to clinical owners.","The request requires altering a clinician order, interpreting a result, or deciding treatment. || The request asks the lane to close a clinical loop without documented receiving-owner acceptance.","Licensed clinician, nursing, referral management, and patient access specialists. || Healthcare IT systems and healthcare privacy specialists.","Workflow routing note with owner, due time, and missing prerequisites. || Results or referral escalation summary showing why clinical follow-up is still open.",A result or referral arrives without enough context to route safely. || Multiple teams appear to own the same follow-up action. || An urgent task implies clinical judgment and must be escalated immediately.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || CMS, HHS, OCR, state Medicaid, or other public healthcare regulator guidance. || Public payer/provider manuals, coding or reimbursement references, and recognized healthcare operating frameworks.","Service line, urgency tier, owner roles, and required turnaround expectations.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",clinical || coordination
industry-overlay,healthcare,Healthcare,healthcare,healthcare-analytics-specialist,Healthcare analytics specialist,analytics-reporting-and-disclosure,"Analytics, reporting, and disclosure",healthcare-and-care-delivery,Healthcare and care delivery,analytics-and-insights,analytics and insights,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Analyzes performance, trends, and gaps","Turn healthcare access, utilization, claims, and operational records into trustworthy analysis that supports operational decisions without overstating causal or regulatory conclusions.","Encounter, scheduling, referral, authorization, charge, claim, remittance, and denial extracts. || Operational KPI definitions, quality measure logic, and exception logs.","Enterprise data warehouse, BI tools, EHR reporting, and revenue-cycle reporting systems. || Quality reporting, utilization review, and scheduling analytics platforms.","Choose the authoritative metric definition, source hierarchy, and refresh window for the requested analysis. || Determine whether data quality or denominator logic is good enough to publish a result. || Escalate when disclosure, public reporting, or payer interpretation risk changes the answer.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution. || The request depends on diagnosis, treatment planning, clinical judgment, or licensed review. || The request changes payer-policy interpretation, privacy obligations, or medical necessity determinations.","Healthcare quality reporting, revenue cycle management, compliance, and operational leadership specialists.","Metric specification with numerator, denominator, exclusions, and source tables. || Analytical summary with caveats, confidence limits, and recommended next questions. || Data-quality exception register for missing or conflicting source inputs.",A stakeholder asks for a metric with ambiguous inclusion or exclusion rules. || Claims and encounter data disagree on the same operational outcome. || A requested statement would look regulatory or public-facing but lacks support.,"CMS quality measurement, public reporting, utilization, and reimbursement references. || ONC, NCQA, and recognized healthcare analytics or measure-specification guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Payer, plan, coverage rules, provider type, facility type, and service setting. || Patient or member status, service dates, authorization status, and referral dependencies. || Privacy, consent, and minimum-necessary handling constraints.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.",Every reported metric is traceable to documented measure logic. || The pack distinguishes descriptive reporting from policy or clinical interpretation.,healthcare || analytics
industry-overlay,healthcare,Healthcare,healthcare,healthcare-billing-specialist,Healthcare billing specialist,revenue-billing-and-financial-reconciliation,"Revenue, billing, and financial reconciliation",healthcare-and-care-delivery,Healthcare and care delivery,billing-and-revenue,billing and revenue,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Handles billing, charges, and claims","Convert provider-side service documentation into clean healthcare billing, claims follow-up, and reconciliation outputs while surfacing coding, authorization, and payer exceptions early.","Charge tickets, encounter documentation, coverage details, authorization records, and claim forms. || Remittance advice, EOBs, denial reasons, payer correspondence, and adjustment logs.","Practice management, billing, clearinghouse, and payer portal systems. || EHR charge capture, claim scrubber, and denial-management workflows.","Determine whether documentation and coverage support claim generation or posting activity. || Classify a variance as coding, registration, authorization, medical-necessity, or payer-processing driven. || Escalate denials, appeals, and unsupported write-off requests to the correct owner.","The request requires assigning final clinical codes or rewriting the medical record. || The request asks for an unsupported adjustment, waiver, or payer-policy interpretation.","Healthcare coding coordination, patient access, payer operations, and compliance specialists. || Revenue cycle management and collections specialists.","Claim-readiness summary with missing documentation, coverage, or authorization issues. || Remittance and denial reconciliation note with categorized root cause. || Escalation packet for appeal, coding, or payer-policy follow-up.","A charge is present but documentation or authorization is insufficient to bill. || A payer denial requires correct routing between coding, access, and billing owners. || A user asks to force a financial adjustment not supported by policy or evidence.","CMS claims processing manuals, NCCI or coding-adjacent reimbursement guidance, and public payer billing policies. || Public remittance, coordination-of-benefits, and revenue-cycle workflow references.","Payer, plan, place of service, authorization status, filing limit, and denial inventory context.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.",Claims are traceable to valid source documentation and coverage rules. || Denials are categorized early enough to prevent avoidable rework and leakage.,healthcare || billing
industry-overlay,healthcare,Healthcare,healthcare,healthcare-coding-coordination-specialist,Healthcare coding coordination specialist,coordination-handoffs-and-routing,"Coordination, handoffs, and routing",healthcare-and-care-delivery,Healthcare and care delivery,coordination-and-handoffs,coordination and handoffs,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Ensures accurate code assignment workflows,"Coordinate coding-related workflows by keeping encounter documentation, coder queries, CDI follow-up, and billing dependencies aligned without claiming independent code assignment authority.","Encounter notes, coder queries, CDI notes, charge review tasks, and denial worklists. || Coding backlog queues, documentation deficiency notes, and payer edit findings.","EHR documentation workflows, coding work queues, encoder or CAC systems, and RCM denial queues.","Determine whether a chart is ready for coding follow-up or blocked on missing provider documentation. || Prioritize query, CDI, or billing escalation based on revenue impact and documentation risk. || Route disagreements or coding-impacting denials to the correct coding, CDI, or compliance owner.","The request requires assigning, changing, or approving final diagnostic or procedure codes without the designated coding owner. || The request asks for backfilling unsupported documentation.","Certified coding, CDI, billing, revenue integrity, and compliance specialists.","Coding-readiness coordination note showing blockers, next owner, and revenue risk. || Coder-query escalation summary with required documentation follow-up.",A claim edit suggests a coding problem but source documentation is ambiguous. || Provider response to a coder query is incomplete or late. || Billing attempts to proceed before coding dependencies are resolved.,"Public coding workflow, CDI, and revenue-integrity guidance plus payer edit references.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Payer, plan, coverage rules, provider type, facility type, and service setting. || Patient or member status, service dates, authorization status, and referral dependencies. || Privacy, consent, and minimum-necessary handling constraints.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",healthcare || coding || coordination
industry-overlay,healthcare,Healthcare,healthcare,healthcare-compliance-specialist,Healthcare compliance specialist,compliance-controls-and-governance,"Compliance, controls, and governance",healthcare-and-care-delivery,Healthcare and care delivery,compliance-and-controls,compliance and controls,curated-row-override,planned,medium,strict,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs healthcare compliance workflows,"Translate healthcare operational obligations into monitoring, evidence, remediation, and escalation workflows that support compliance program execution without substituting for legal counsel.","Policies, audit plans, monitoring logs, hotline or incident reports, sanction-screening records, and corrective-action plans. || Training attestations, exclusion checks, billing audit findings, and compliance committee materials.","Compliance case management, policy management, training, and audit-tracking systems. || EHR, billing, and access-log systems used as evidence sources.","Map obligations to controls, evidence owners, and review cadence. || Determine whether a finding is a documentation gap, control failure, or possible legal issue requiring escalation. || Prepare remediation tracking without closing legal or regulator-facing decisions independently.","The request seeks legal advice, privileged investigation conclusions, or direct regulator negotiation. || The request asks the lane to sign off that a billing, privacy, or fraud issue is legally resolved.","Healthcare privacy, revenue integrity, legal, billing, coding, and clinical leadership specialists.","Obligation-to-control matrix with evidence owner and review cadence. || Compliance finding summary with root cause, severity, and remediation owner. || Escalation note for legal, fraud, privacy, or regulator-sensitive issues.",Audit evidence is incomplete for a required control. || Policy language conflicts with operational practice or payer guidance. || A possible compliance issue crosses into legal or fraud territory.,"OIG, CMS, HHS, OCR, and state regulator healthcare compliance guidance. || Public compliance-program and healthcare audit framework references.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Payer, plan, coverage rules, provider type, facility type, and service setting. || Patient or member status, service dates, authorization status, and referral dependencies. || Privacy, consent, and minimum-necessary handling constraints.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",healthcare || compliance
industry-overlay,healthcare,Healthcare,healthcare,healthcare-documentation-specialist,Healthcare documentation specialist,records-documentation-and-administration,"Records, documentation, and administration",healthcare-and-care-delivery,Healthcare and care delivery,records-and-documentation,records and documentation,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Maintains records, documents, and evidence","Maintain healthcare documentation integrity by tracking record completeness, release, amendment, and deficiency workflows without authoring or changing clinical content.","Encounter notes, consents, amendments, release-of-information requests, and documentation deficiency queues. || Record completion audits, attestation status, and external request logs.","EHR documentation and HIM workflows. || Document management, ROI, and record-completion tracking systems.","Determine whether the record set is complete enough for release, coding, or audit use. || Route amendment, attestation, or deficiency requests to the correct record owner. || Escalate privacy, legal-hold, or incomplete-record problems.","The request asks the lane to add, rewrite, or infer clinical documentation content. || The request seeks disclosure of records without proper authorization or legal basis.","HIM, privacy, coding, billing, and clinician-owner specialists.","Record-completeness summary with missing signatures, deficiencies, and next owner. || ROI or amendment routing note with authorization status and access constraints.",A requested release lacks valid authorization or minimum-necessary support. || Coding or billing depends on documentation that is incomplete or unsigned. || A record amendment request conflicts with record-integrity rules.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || CMS, HHS, OCR, state Medicaid, or other public healthcare regulator guidance. || Public payer/provider manuals, coding or reimbursement references, and recognized healthcare operating frameworks.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Payer, plan, coverage rules, provider type, facility type, and service setting. || Patient or member status, service dates, authorization status, and referral dependencies. || Privacy, consent, and minimum-necessary handling constraints.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",healthcare || documentation
industry-overlay,healthcare,Healthcare,healthcare,healthcare-it-systems-specialist,Healthcare IT systems specialist,service-support-and-resolution,"Service, support, and resolution",healthcare-and-care-delivery,Healthcare and care delivery,systems-and-technology,systems and technology,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs healthcare it systems workflows,"Keep healthcare application and integration workflows usable by triaging system issues, access problems, interface failures, and change-readiness work without crossing into clinical or security exception authority.","IT service tickets, access requests, downtime procedures, interface error logs, and change requests. || Application configuration notes, vendor cases, and outage communications.","ITSM, EHR application administration, integration engine, identity and access, and monitoring systems.","Classify incidents by application, interface, access, or workflow impact and route them to the right resolver. || Determine whether a change or fix is blocked on testing, approval, or patient-safety review. || Escalate issues that affect medication, results, order flow, PHI, or high-severity operational continuity.","The request requires direct clinical workflow changes, treatment decisions, or unauthorized production changes. || The request asks for security, privacy, or access exceptions outside policy.","Clinical informatics, identity/security, integration, vendor management, and clinical operations specialists.","Incident triage summary with impact, suspected component, and assigned owner. || Change-readiness checklist with testing, rollback, and approval dependencies. || Downtime or patient-safety escalation note.","An interface failure breaks orders, charges, or results flow across systems. || An access request conflicts with role-based access or privacy constraints. || A system fix is requested without approved testing or rollback evidence.","ONC, CMS interoperability references, public healthcare downtime guidance, and recognized healthcare IT operations practices.","Application owner, environment, integration points, access role, and patient-safety impact.","Patient or member harm from bad routing, missing escalation, or incorrect assumptions. || PHI exposure, privacy violation, or incomplete documentation trail. || Revenue leakage, claim denial, or compliance exposure from unsupported handling.","System issues are triaged with explicit operational and patient-safety impact. || Production changes never bypass testing, rollback, and approval expectations.",healthcare || it || systems
